Nome da música,Nome do artista,Álbum,Data de lançamento do álbum,Qtd músicas no álbum,Duração em min,Conteúdo explícito,Preview da música,Energia,Ao vivo,Acústica,Instrumental,Dançabilidade,Volume
Heaven,'Bryan Adams',Reckless (30th Anniversary / Deluxe Edition),1984-11-05,32,4.056,False,https://p.scdn.co/mp3-preview/a02f96375ee67e1e572e9ff777a710f7e950a017?cid=441ef608cf0446bbbe5aab69a0c35328,0.589,0.122,0.0465,0,0.382,-7.315
CASTLE OF GLASS,'Linkin Park',LIVING THINGS,2012-06-20,12,3.4233333333333333,False,https://p.scdn.co/mp3-preview/4a1db9ba57b75cd319509e90d45045668ed3a575?cid=441ef608cf0446bbbe5aab69a0c35328,0.911,0.0908,0.0686,0.00188,0.615,-3.584
What Are You Waiting For?,'Nickelback',No Fixed Address,2014-11-17,11,3.648433333333333,False,https://p.scdn.co/mp3-preview/a3bd3e783def429317803e0ff9495934339895b4?cid=441ef608cf0446bbbe5aab69a0c35328,0.826,0.279,0.0313,0,0.505,-8.106
Centuries,'Fall Out Boy',American Beauty/American Psycho,2015-01-20,11,3.806,False,https://p.scdn.co/mp3-preview/d6fcac6047be8c069b563701022ce2713d7c05cf?cid=441ef608cf0446bbbe5aab69a0c35328,0.858,0.102,0.00359,0,0.393,-2.868
Snow (Hey Oh),'Red Hot Chili Peppers',Stadium Arcadium,2006-05-09,29,5.577766666666666,False,https://p.scdn.co/mp3-preview/d1e419a7f2aa9ba761be88802dbd3560b8f99776?cid=441ef608cf0446bbbe5aab69a0c35328,0.9,0.119,0.116,1.75e-05,0.427,-3.674
It's Time,'Imagine Dragons',Night Visions,2012-09-04,14,4.0051,False,https://p.scdn.co/mp3-preview/390931351d05dfaf8a423f0981d1dc754f02a353?cid=441ef608cf0446bbbe5aab69a0c35328,0.884,0.144,0.0162,0,0.656,-4.748
Zombie,'The Cranberries',No Need To Argue (The Complete Sessions 1994-1995),1994-10-03,18,5.107333333333333,False,https://p.scdn.co/mp3-preview/17be792bc7651304002a6dcea847087501c8305a?cid=441ef608cf0446bbbe5aab69a0c35328,0.649,0.367,0.0158,0.00591,0.309,-8.994
You Give Love A Bad Name,'Bon Jovi',Slippery When Wet,1986-08-16,10,3.7117666666666667,False,https://p.scdn.co/mp3-preview/8725d17310a4bb00377f22ef21fe93fc5fbff0da?cid=441ef608cf0446bbbe5aab69a0c35328,0.96,0.344,0.0663,2.25e-06,0.541,-2.947
"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack",'Aerosmith',I Don't Want To Miss A Thing EP,1998-08-18,3,4.995383333333334,False,https://p.scdn.co/mp3-preview/86ecdf40da3f39266dc8a44fe6bbac98abe760ca?cid=441ef608cf0446bbbe5aab69a0c35328,0.649,0.216,0.172,0,0.39,-5.163
Under Pressure - Remastered 2011,"'David Bowie', 'Queen'",Hot Space (2011 Remaster),1982-05-03,11,4.140666666666666,False,https://p.scdn.co/mp3-preview/e3f7bdc022347f1b9e15152b67f8437c98b3ca12?cid=441ef608cf0446bbbe5aab69a0c35328,0.712,0.103,0.429,0,0.671,-7.815
Mr. Brightside,'The Killers',Hot Fuss,2004,12,3.7162166666666665,False,https://p.scdn.co/mp3-preview/848b1bd5544e82f62f9cfcec65362d0f5369781f?cid=441ef608cf0446bbbe5aab69a0c35328,0.911,0.0995,0.00121,0,0.352,-5.23
Bring Me To Life,'Evanescence',Fallen,2003-03-04,12,3.93155,False,https://p.scdn.co/mp3-preview/d318a788a3a6a1ecb8cd0f1c924cef18832ff8d2?cid=441ef608cf0446bbbe5aab69a0c35328,0.943,0.242,0.00721,2.06e-06,0.331,-3.188
Sweet Home Alabama,'Lynyrd Skynyrd',Second Helping (Expanded Edition),1974-04-15,11,4.73,False,https://p.scdn.co/mp3-preview/125986ae6eb995983b84776b7e0d368f6a74cbbf?cid=441ef608cf0446bbbe5aab69a0c35328,0.605,0.0863,0.181,0.000331,0.596,-12.145
Radioactive,'Imagine Dragons',Night Visions,2012-09-04,14,3.11355,False,https://p.scdn.co/mp3-preview/10a6946f6466990d6ffee5821d745999c1492932?cid=441ef608cf0446bbbe5aab69a0c35328,0.784,0.668,0.106,0.000108,0.448,-3.686
With Or Without You,'U2',The Joshua Tree (Super Deluxe),1987-03-03,49,4.92525,False,https://p.scdn.co/mp3-preview/a7e5de3437eecf201cc1817a7b2d8fae96910199?cid=441ef608cf0446bbbe5aab69a0c35328,0.429,0.141,0.000202,0.355,0.54,-11.822
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,1987-07-21,12,5.934433333333334,False,https://p.scdn.co/mp3-preview/a941cdd2c0c74206aaa6d7e459e4fdf1d738deaa?cid=441ef608cf0446bbbe5aab69a0c35328,0.952,0.112,0.0901,0.0857,0.446,-5.321
Should I Stay or Should I Go - Remastered,'The Clash',Combat Rock (Remastered),1982,12,3.149766666666667,False,https://p.scdn.co/mp3-preview/30dfcd239fdb4a9ee277ff3a214a4f6771bd8cb3?cid=441ef608cf0446bbbe5aab69a0c35328,0.836,0.384,0.0804,0,0.743,-6.465
21 Guns,'Green Day',21st Century Breakdown,2009-05-15,18,5.35155,False,https://p.scdn.co/mp3-preview/431b2787cb98a4dea90606248e0a835afbf6b6f3?cid=441ef608cf0446bbbe5aab69a0c35328,0.742,0.626,0.0518,0,0.268,-4.939
Wherever You Will Go,'The Calling',Camino Palmero,2001,11,3.4766666666666666,False,https://p.scdn.co/mp3-preview/8b0fe841dac27e19dd6b26b8f480f39c96891350?cid=441ef608cf0446bbbe5aab69a0c35328,0.719,0.115,0.0367,0,0.558,-5.113
Sex on Fire,'Kings of Leon',Only By The Night,2008-09-23,11,3.3891,False,https://p.scdn.co/mp3-preview/6806855988e246016413cc8a34a2afe862f3988d?cid=441ef608cf0446bbbe5aab69a0c35328,0.905,0.136,0.00172,0.0104,0.542,-5.653
Whatever It Takes,'Imagine Dragons',Evolve,2017-06-23,12,3.354,False,https://p.scdn.co/mp3-preview/acf84fc1161c437e22a6cbb17730925d9f790b3d?cid=441ef608cf0446bbbe5aab69a0c35328,0.655,0.117,0.0362,0,0.672,-5.021
I Still Haven't Found What I'm Looking For,'U2',The Joshua Tree (Super Deluxe),1987-03-03,49,4.6246,False,https://p.scdn.co/mp3-preview/977c8d1d535253a9a4e1061cf4585b624dd205c4?cid=441ef608cf0446bbbe5aab69a0c35328,0.774,0.0861,0.0135,0.00191,0.564,-9.424
Carrie,'Europe',The Final Countdown (Expanded Edition),1986,13,4.53555,False,https://p.scdn.co/mp3-preview/53c2aefde1ddfdaa133d396b08a4c49fc99dc24f?cid=441ef608cf0446bbbe5aab69a0c35328,0.487,0.358,0.114,2.43e-06,0.455,-7.112
Carry on Wayward Son,'Kansas',Leftoverture (Expanded Edition),1976,10,5.383333333333334,False,https://p.scdn.co/mp3-preview/189d19a38bab3a4ee0e6401f77903e3696bb522e?cid=441ef608cf0446bbbe5aab69a0c35328,0.786,0.446,0.00321,8.88e-05,0.482,-5.735
Charlie Brown,'Coldplay',Mylo Xyloto,2011-10-19,17,4.75265,False,https://p.scdn.co/mp3-preview/e0af2d50a09d4de440c3f86f5c08ea357c7fc3a2?cid=441ef608cf0446bbbe5aab69a0c35328,0.74,0.33,0.0212,0.00165,0.43,-7.072
I Write Sins Not Tragedies,'Panic! At The Disco',A Fever You Can't Sweat Out,2005-09-27,13,3.1105666666666667,False,https://p.scdn.co/mp3-preview/6c56a9bd72eeab840a88d78edc78a56de6320fe8?cid=441ef608cf0446bbbe5aab69a0c35328,0.83,0.114,0.0807,0,0.569,-4.106
You’re The Best Thing About Me,'U2',Songs Of Experience (Deluxe Edition),2017-12-01,17,3.756666666666667,False,https://p.scdn.co/mp3-preview/1cd5e0282e5173322c6899c7341cd4b27cf781cd?cid=441ef608cf0446bbbe5aab69a0c35328,0.78,0.294,0.002,1.18e-06,0.65,-6.713
Wake Me up When September Ends,'Green Day',American Idiot,2004-09-21,9,4.760883333333333,False,https://p.scdn.co/mp3-preview/acf215c01932347394d036999c4f0f12e9fcb66a?cid=441ef608cf0446bbbe5aab69a0c35328,0.814,0.0972,0.023,0,0.546,-5.146
The Final Countdown,'Europe',The Final Countdown (Expanded Edition),1986,13,5.1722166666666665,False,https://p.scdn.co/mp3-preview/eaa4589de811f47326f5a15013ed58bd62a9e96a?cid=441ef608cf0446bbbe5aab69a0c35328,0.843,0.0608,0.0628,0.000827,0.529,-6.908
We Are The Champions - Remastered 2011,'Queen',News Of The World (2011 Remaster),1977-10-28,11,2.986666666666667,False,https://p.scdn.co/mp3-preview/edb9b92942f6c44cea060e481d2f6fecff19fbb9?cid=441ef608cf0446bbbe5aab69a0c35328,0.459,0.118,0.378,0,0.268,-6.94
Trying Not to Love You,'Nickelback',Here and Now,2011-11-14,11,4.198,False,https://p.scdn.co/mp3-preview/5fe811c89b1c728d0c2690773751f3ba45ba7df3?cid=441ef608cf0446bbbe5aab69a0c35328,0.924,0.184,0.0132,0,0.473,-4.297
Bitter Sweet Symphony - Remastered 2016,'The Verve',Urban Hymns (Remastered 2016),1997-09-29,13,5.954433333333333,False,https://p.scdn.co/mp3-preview/8b56a0a99ec6675ac20c4c9d69565897e510c491?cid=441ef608cf0446bbbe5aab69a0c35328,0.917,0.406,0.0335,0,0.356,-6.006
Come As You Are - Remastered,'Nirvana',Nevermind (30th Anniversary Super Deluxe),1991-09-24,75,3.6486666666666667,False,https://p.scdn.co/mp3-preview/7e9be2f1785c932e198f045ede7226957141f083?cid=441ef608cf0446bbbe5aab69a0c35328,0.874,0.0988,0.000229,0.00638,0.509,-4.7
Summer Of '69,'Bryan Adams',Reckless (30th Anniversary / Deluxe Edition),1984-11-05,32,3.6008833333333334,False,https://p.scdn.co/mp3-preview/2300238dbef57e50bd68cec1093b30c62c86d090?cid=441ef608cf0446bbbe5aab69a0c35328,0.834,0.0732,0.0183,0,0.508,-6.205
Behind Blue Eyes,'Limp Bizkit',Results May Vary,2003-01-01,18,4.49955,False,https://p.scdn.co/mp3-preview/9e40156e0c440e12466510f9531430a119e167ee?cid=441ef608cf0446bbbe5aab69a0c35328,0.489,0.119,0.497,0,0.595,-6.66
Listen To Your Heart,'Roxette',Look Sharp!,1988-10-19,13,5.468216666666667,False,https://p.scdn.co/mp3-preview/10d1d15b1420a82980737b659281c986d4799ad0?cid=441ef608cf0446bbbe5aab69a0c35328,0.583,0.111,0.108,0,0.539,-4.935
Numb,'Linkin Park',Meteora,2003-09-16,13,3.0931,False,https://p.scdn.co/mp3-preview/15e1178c9eb7f626ac1112ad8f56eccbec2cd6e5?cid=441ef608cf0446bbbe5aab69a0c35328,0.863,0.639,0.0046,0,0.496,-4.153
Human,'The Killers',Day & Age (Bonus Tracks),2008-11-18,12,4.08955,False,https://p.scdn.co/mp3-preview/04c32ca8691024589da8c21b8b49fb0203dfef0b?cid=441ef608cf0446bbbe5aab69a0c35328,0.8,0.0906,0.00132,0.0012,0.557,-8.477
I Want to Know What Love Is - 1999 Remaster,'Foreigner',Agent Provocateur,1984-12-12,10,5.079766666666667,False,https://p.scdn.co/mp3-preview/23f9b7ad0a9008aca1017cce9b5ba375b322ac8b?cid=441ef608cf0446bbbe5aab69a0c35328,0.471,0.131,0.193,1.76e-06,0.477,-10.036
Can't Stop,'Red Hot Chili Peppers',By the Way (Deluxe Edition),2002-07-09,18,4.483333333333333,False,https://p.scdn.co/mp3-preview/1b3bc0aca1746a99cbb8dd07b2325f6499b58a2e?cid=441ef608cf0446bbbe5aab69a0c35328,0.938,0.167,0.0179,0,0.618,-3.442
Still Loving You,'Scorpions',Comeblack,2011-11-04,15,6.724216666666667,False,https://p.scdn.co/mp3-preview/5d829ba6cb52bd503f451f21d19522494059768a?cid=441ef608cf0446bbbe5aab69a0c35328,0.605,0.103,0.0047,0.00144,0.282,-4.916
How You Remind Me,'Nickelback',Silver Side Up,2001-09-11,10,3.7306666666666666,False,https://p.scdn.co/mp3-preview/94fd201045f5b682935957a8206075638dc4622d?cid=441ef608cf0446bbbe5aab69a0c35328,0.764,0.099,0.00135,0,0.446,-5.042
Never Say Never,'The Fray',The Fray,2009-02-02,10,4.276883333333333,False,https://p.scdn.co/mp3-preview/4d9ee587724b18a37a63238c2245a6f7c05d3755?cid=441ef608cf0446bbbe5aab69a0c35328,0.492,0.176,0.568,8.18e-06,0.23,-5.767
Iris,'The Goo Goo Dolls',Dizzy up the Girl,1998-09-11,13,4.82555,False,https://p.scdn.co/mp3-preview/30e2a899a94a089d5c341b782b00aa802fd87610?cid=441ef608cf0446bbbe5aab69a0c35328,0.715,0.0942,0.00125,7.97e-06,0.315,-8.072
Knockin' On Heaven's Door,Guns N' Roses,Use Your Illusion II,1991-09-18,14,5.6,False,https://p.scdn.co/mp3-preview/78914815856c67e274e7facedced537fe96dcfe7?cid=441ef608cf0446bbbe5aab69a0c35328,0.739,0.106,0.0211,0.00444,0.496,-7.193
Your Love,'The Outfield',Play Deep,1985,10,3.6077666666666666,False,https://p.scdn.co/mp3-preview/7b8620b10c2924654ec1a873cff09ce908e87857?cid=441ef608cf0446bbbe5aab69a0c35328,0.654,0.0673,0.121,3.62e-06,0.579,-12.421
What I've Done,'Linkin Park',Minutes to Midnight,2007-05-11,13,3.4268833333333335,False,https://p.scdn.co/mp3-preview/bb5a97b64d61c8920674717ca753752eee008b95?cid=441ef608cf0446bbbe5aab69a0c35328,0.93,0.138,0.0141,1.64e-06,0.623,-5.285
Wonderwall - Remastered,'Oasis',(What's The Story) Morning Glory? [Remastered],1995-10-02,40,4.312883333333334,False,https://p.scdn.co/mp3-preview/d2c5a17756fead2fafc4d9336edf1659f7142a74?cid=441ef608cf0446bbbe5aab69a0c35328,0.896,0.194,0.000452,0,0.378,-4.066
Somewhere Only We Know,'Keane',Hopes And Fears,2004-01-01,11,3.936,False,https://p.scdn.co/mp3-preview/14b8c7f33de3a3a6558d3589b9f2260ae8c513c5?cid=441ef608cf0446bbbe5aab69a0c35328,0.655,0.0849,0.0794,7.61e-06,0.453,-4.22
Uprising,'Muse',The Resistance,2009-09-10,11,5.080666666666667,False,https://p.scdn.co/mp3-preview/529eb48df232955cdd3b870f21e2bd41f1657fae?cid=441ef608cf0446bbbe5aab69a0c35328,0.905,0.117,0.000202,0.064,0.602,-4.046
